company,industry,title,description,Tag,date,url,icon
Slack,Tech,Slack AI for corporate messaging ,How We Built Slack AI To Be Secure and Private,"LLM,product feature,generative AI",2024,https://slack.engineering/how-we-built-slack-ai-to-be-secure-and-private/,fa-microchip
Picnic,Delivery and mobility,Route support requests to agents,How we broke customer support language barriers without breaking production,NLP,2024,https://blog.picnic.nl/how-picnic-migrated-ml-architectures-without-sacrificing-operational-continuity-271c0e04014a,fa-truck
Foodpanda,Delivery and mobility,Balance demand and supply for food delivery,Sculpturing: Optimising Budget through Machine Learning,demand forecasting,2024,https://medium.com/foodpanda-data/sculpturing-optimising-budget-through-data-analysis-bd1c1872a36b,fa-truck
Netflix,Media and streaming,Automatically remediate failed big data jobs,Evolving from Rule-based Classifier: Machine Learning Powered Auto Remediation in Netflix Data Platform,ops,2024,https://netflixtechblog.com/evolving-from-rule-based-classifier-machine-learning-powered-auto-remediation-in-netflix-data-039d5efd115b,fa-music
Etsy,E-commerce and retail,Visual search and visually similar recommendations,Efficient Visual Representation Learning And Evaluation,"CV,search",2024,https://www.etsy.com/codeascraft/efficient-visual-representation-learning-and-evaluation,fa-shopping-cart
LinkedIn,Social networks,Detect AI-generated images,Finding AI-generated (deepfake) faces in the wild,product feature,2024,https://arxiv.org/abs/2311.08577,fa-user-friends
Discord,Social networks,Overview of generative AI use cases,Developing rapidly with Generative AI,"generative AI,LLM",2024,https://discord.com/blog/developing-rapidly-with-generative-ai,fa-user-friends
Pinterest,Social platforms,Improve ads performance,Evolution of Ads Conversion Optimization Models at Pinterest,ad ranking / targeting,2024,https://medium.com/pinterest-engineering/evolution-of-ads-conversion-optimization-models-at-pinterest-84b244043d51,fa-users
Expedia,"Travel,E-commerce and retail",Semantic search for hotels and travel,Learning Embeddings for Lodging Travel Concepts,"search,product feature",2024,https://medium.com/expedia-group-tech/learning-embeddings-for-lodging-travel-concepts-99165700cdbd,fa-home
Instacart,E-commerce and retail,Detect fraudulent activities in real-time,Real-time Fraud Detection with Yoda and ClickHouse,fraud detection,2024,https://tech.instacart.com/real-time-fraud-detection-with-yoda-and-clickhouse-bd08e9dbe3f4,fa-shopping-cart
GoDaddy,Tech,Сlassify support inquiries,LLM From the Trenches: 10 Lessons Learned Operationalizing Models at GoDaddy,"LLM,generative AI",2024,https://www.godaddy.com/resources/news/llm-from-the-trenches-10-lessons-learned-operationalizing-models-at-godaddy,fa-microchip
Foodpanda,Delivery and mobility,Balance demand and supply for food delivery,The Making: Optimising Budget through Machine Learning,demand forecasting,2024,https://medium.com/foodpanda-data/the-making-optimising-budget-through-data-analysis-3ca4d97a6d1a,fa-truck
Uber,Delivery and mobility,Classify data for privacy and security ,DataK9: Auto-categorizing an exabyte of data at field level through AI/ML,ops,2024,https://www.uber.com/en-GB/blog/auto-categorizing-data-through-ai-ml/  ,fa-truck
LinkedIn,Social networks,Generate questions related to the text,Musings on building a Generative AI product,"generative AI,LLM,RAG",2024,https://www.linkedin.com/blog/engineering/generative-ai/musings-on-building-a-generative-ai-product ,fa-user-friends
Segment,Tech,Define audience segments with natural language,LLM-as-Judge: Evaluating and Improving Language Model Performance in Production,"product feature,LLM,generative AI",2024,https://segment.com/blog/llm-as-judge/,fa-microchip
Swiggy,Delivery and mobility,Automatically populate and correct addresses,Address Correction for Q-Commerce Part 2: Geocoder,product feature,2024,https://bytes.swiggy.com/address-correction-for-q-commerce-part-2-geocoder-3bbd6ee828c0,fa-truck
Gitlab,Tech,Overview of LLM-powered product features,Developing GitLab Duo: How we are dogfooding our AI features,"product feature,LLM,generative AI",2024,https://about.gitlab.com/blog/2024/05/20/developing-gitlab-duo-how-we-are-dogfooding-our-ai-features/,fa-microchip
Swiggy,Delivery and mobility,Generative AI use cases,"Reflecting on a year of generative AI at Swiggy: A brief review of achievements, learnings, and insights","LLM,generative AI",2024,https://bytes.swiggy.com/reflecting-on-a-year-of-generative-ai-at-swiggy-a-brief-review-of-achievements-learnings-and-13a9671dc624,fa-truck
Expedia,"Travel,E-commerce and retail",Building a personal travel assistant ,Traveling Just Got a Lot Smarter with Romie,generative AI,2024,https://medium.com/expedia-group-tech/traveling-just-got-a-whole-lot-smarter-with-romie-dfb9b21c07c5,fa-home
Incident.io,Tech,Generate summaries of software incidents,Lessons learned from building our first AI product,"LLM,generative AI",2024,https://incident.io/blog/lessons-learned-from-building-our-first-ai-product,fa-microchip
Picnic,Delivery and mobility,Forecast demand for perishable products,Under the hood of Picnic’s demand forecasting model: A Deep Dive into the Temporal Fusion Transformer,demand forecasting,2024,https://blog.picnic.nl/under-the-hood-of-picnics-demand-forecasting-model-a-deep-dive-into-the-temporal-fusion-e281604d65a5,fa-truck
Zillow,E-commerce and retail,Detect discriminatory content in real-estate listings,Using AI to Understand the Complexities and Pitfalls of Real Estate Data,"LLM,generative AI",2024,https://www.zillow.com/tech/using-ai-to-understand-the-complexities-and-pitfalls-of-real-estate-data/,fa-shopping-cart
Foodpanda,Delivery and mobility,Balance demand and supply for food delivery,Introduction: Optimising Budget through Machine Learning,demand forecasting,2024,https://medium.com/foodpanda-data/introduction-optimising-budget-through-data-analysis-030b2f39ad0c,fa-truck
Target,E-commerce and retail,Recommend products typically bought together ,Bundled Product Recommendations,recommender system,2024,https://tech.target.com/blog/bundled-product-recommendations,fa-shopping-cart
Netflix,Media and streaming,Build reverse search system,Reverse Searching Netflix’s Federated Graph,ops,2024,https://netflixtechblog.com/reverse-searching-netflixs-federated-graph-222ac5d23576,fa-music
Instacart,E-commerce and retail,Learn causal effects from observational data,"Optimizing at the Edge:
Using Regression Discontinuity Designs to Power Decision-Making",ops,2024,https://tech.instacart.com/optimizing-at-the-edge-using-regression-discontinuity-designs-to-power-decision-making-51e296615046,fa-shopping-cart
Wayfair,E-commerce and retail,Provides live chat response recommendations,Agent Co-Pilot: Wayfair's Gen-AI Assistant for Digital Sales Agents,"LLM,generative AI",2024,https://www.aboutwayfair.com/careers/tech-blog/agent-co-pilot-wayfairs-gen-ai-assistant-for-digital-sales-agents,fa-shopping-cart
New York Times,Media and streaming,Detect and recognize handwriting,Experimenting with Handwriting Recognition for The New York Times Crossword,CV,2024,https://open.nytimes.com/experimenting-with-handwriting-recognition-for-new-york-times-crossword-a78e08fec08f,fa-music
Mercado Libre,E-commerce and retail,Understand users’ profiles better,Unlocking the Power of Lookalike Audiences: Simplifying Complexity,ops,2024,https://medium.com/mercadolibre-tech/unlocking-the-power-of-lookalike-audiences-simplifying-complexity-74275f537e20,fa-shopping-cart
Ebay,E-commerce and retail,LLM applications for developer productivity,Cutting Through the Noise: Three Things We've Learned About Generative AI and Developer Productivity,"LLM,generative AI",2024,https://innovation.ebayinc.com/tech/features/cutting-through-the-noise-three-things-weve-learned-about-generative-ai-and-developer-productivity/,fa-shopping-cart
Feedzai,Fintech and banking,Detect payment fraud,Building Trust in a Digital World: The Role of Machine Learning in Behavioral Biometrics,fraud detection,2024,https://medium.com/feedzaitech/building-trust-in-a-digital-world-the-role-of-machine-learning-in-behavioral-biometrics-bb0da913d95a,fa-credit-card
Uber,Delivery and mobility,Test mobile applications with LLMs,DragonCrawl: Generative AI for High-Quality Mobile Testing,"LLM,ops,generative AI",2024,https://www.uber.com/en-GB/blog/generative-ai-for-high-quality-mobile-testing/ ,fa-truck
Replit,Tech,Finetuning LLMs for code repairs,Building LLMs for Code Repair,"product feature,LLM,generative AI",2024,https://blog.replit.com/code-repair,fa-microchip
Airbnb,"Travel,E-commerce and retail",Quantify brand perceptions from social media,Airbnb Brandometer: Powering Brand Perception Measurement on Social Media Data with AI,"NLP,ops",2024,https://medium.com/airbnb-engineering/airbnb-brandometer-powering-brand-perception-measurement-on-social-media-data-with-ai-c83019408051,fa-home
Expedia,"Travel,E-commerce and retail",Ranking travel search results,Choosing the Right Candidates for Lodging Ranking,search,2024,https://medium.com/expedia-group-tech/choosing-the-right-candidates-for-lodging-ranking-d0841bf40c0e,fa-home
Tubi,Media and streaming,Recommend content to watch,How to Monitor a Recommender System,recommender system,2024,https://code.tubitv.com/how-to-monitor-a-recommender-system-6d720c922c90,fa-music
Pinterest,Social platforms,Improve ads performance,Handling Online-Offline Discrepancy in Pinterest Ads Ranking System,ad ranking / targeting,2024,https://medium.com/pinterest-engineering/handling-online-offline-discrepancy-in-pinterest-ads-ranking-system-8fd662da4c2d,fa-users
GetYourGuide,"Travel,E-commerce and retail",Maintain a robust ranking system,"Powering Millions of Real-Time
Rankings with Production AI",search,2024,https://www.getyourguide.careers/posts/powering-millions-of-real-time-rankings-with-production-ai,fa-home
Netflix,Media and streaming,Classify video content,Video annotator: a framework for efficiently building video classifiers using vision-language models and active learning,product feature,2024,https://netflixtechblog.com/video-annotator-building-video-classifiers-using-vision-language-models-and-active-learning-8ebdda0b2db4,fa-music
Goldman Sachs,Fintech and banking,Improve change request titles ,Using NLP to Purposefully Articulate Software Changes,"NLP,ops",2024,https://developer.gs.com/blog/posts/using-nlp-to-purposefully-articulate-software-changes,fa-credit-card
Mozilla,Tech,Automatically generate alt-text for images,Experimenting with local alt text generation in Firefox Nightly,product feature,2024,https://hacks.mozilla.org/2024/05/experimenting-with-local-alt-text-generation-in-firefox-nightly/,fa-microchip
LinkedIn,Social networks,Suggest new connections on social network,Candidate Generation in a Large Scale Graph Recommendation System: People You May Know,"recommender system,product feature",2024,https://www.linkedin.com/blog/engineering/recommendations/candidate-generation-in-a-large-scale-graph-recommendation-system-people-you-may-know,fa-user-friends
Swiggy,Delivery and mobility,Detect and prevent fraud in food delivery,Utilizing DevNet with Variational Loss for Fraud Detection in Hyperlocal Food Delivery,fraud detection,2024,https://bytes.swiggy.com/utilizing-devnet-with-variational-loss-for-fraud-detection-in-hyperlocal-food-delivery-19e72999acfb,fa-truck
Asos,E-commerce and retail,Optimally rank product listings,Transforming Recommendations at ASOS,recommender system,2024,https://medium.com/asos-techblog/transforming-recommendations-at-asos-254b95c6a07a,fa-shopping-cart
Canva,Tech,Detect related groups of objects ,How we see groups in design,"CV,product feature",2024,https://www.canva.dev/blog/engineering/how-we-see-groups-in-design/,fa-microchip
Walmart,E-commerce and retail,Categorize text by topics,Transforming Text Classification with Semantic Search Techniques — Faiss,search,2024,https://medium.com/walmartglobaltech/transforming-text-classification-with-semantic-search-techniques-faiss-c413f133d0e2,fa-shopping-cart
Lyft,Delivery and mobility,Provide accurate ETAs,ETA (Estimated Time of Arrival) Reliability at Lyft,ETA prediction,2024,https://eng.lyft.com/eta-estimated-time-of-arrival-reliability-at-lyft-d4ca2720bda8,fa-truck
Yelp,Social platforms,Detect inappropriate video content,Moderating Inappropriate Video Content at Yelp,product feature,2024,https://engineeringblog.yelp.com/2024/03/moderating-inappropriate-video-content-at-yelp.html,fa-users
Faire,E-commerce and retail,Build robust semantic search system,Embedding-Based Retrieval: Our Journey and Learnings around Semantic Search at Faire,search,2024,https://craft.faire.com/embedding-based-retrieval-our-journey-and-learnings-around-semantic-search-at-faire-2aa44f969994,fa-shopping-cart
Autotrader,E-commerce and retail,Speed up the creation of labeled datasets,"So many labels, so little time; accelerating our image labelling process",CV,2024,https://engineering.autotrader.co.uk/2024/05/31/image-labels.html,fa-shopping-cart
Zillow,E-commerce and retail,Address discriminatory/offensive queries,Navigating Fair Housing Guardrails in LLMs,"LLM,generative AI",2024,https://www.zillow.com/tech/navigating-fair-housing-guardrails-in-llms/,fa-shopping-cart
Faire,E-commerce and retail,Improve search relevance,Fine-tuning Llama3 to measure semantic relevance in search,"LLM,search,generative AI",2024,https://craft.faire.com/fine-tuning-llama3-to-measure-semantic-relevance-in-search-86a7b13c24ea,fa-shopping-cart
GetYourGuide,"Travel,E-commerce and retail",Improve visual content,"How We Use AI to Optimize Travel
Images",CV,2024,https://www.getyourguide.careers/posts/how-we-use-ai-to-optimize-travel-images,fa-home
Doordash,Delivery and mobility,Extract product attributes from unstructured SKU data,Building DoorDash’s Product Knowledge Graph with Large Language Models,"LLM,generative AI",2024,https://doordash.engineering/2024/04/23/building-doordashs-product-knowledge-graph-with-large-language-models/,fa-truck
Google,Tech,Summarize security and privacy incidents,Accelerating incident response using generative AI,"LLM,search,generative AI",2024,https://security.googleblog.com/2024/04/accelerating-incident-response-using.html,fa-microchip
NVIDIA,Tech,Detect software vulnerabilities,Applying Generative AI for CVE Analysis at an Enterprise Scale,"LLM,ops,generative AI",2024,https://developer.nvidia.com/blog/applying-generative-ai-for-cve-analysis-at-an-enterprise-scale/,fa-microchip
OLX,E-commerce and retail,Extract info from job listings,Extracting Job Roles in Job Ads: A Journey with Generative AI,"LLM,generative AI",2024,https://tech.olx.com/extracting-job-roles-in-job-ads-a-journey-with-generative-ai-e8b8cf399659,fa-shopping-cart
Uber,Delivery and mobility,Detect payment bypassing fraud,Stopping Uber Fraudsters Through Risk Challenges,fraud detection,2024,https://www.uber.com/en-GB/blog/stopping-uber-fraudsters-through-risk-challenges/ ,fa-truck
Doordash,Delivery and mobility,Predict food delivery times,"Improving ETAs with Multi-Task Models, Deep Learning, and Probabilistic Forecasts",ETA prediction,2024,https://doordash.engineering/2024/03/12/improving-etas-with-multi-task-models-deep-learning-and-probabilistic-forecasts/,fa-truck
Yelp,Social platforms,Detect inappropriate language,Yelp’s AI pipeline for inappropriate language detection in reviews,"LLM,generative AI",2024,https://engineeringblog.yelp.com/2024/03/ai-pipeline-inappropriate-language-detection.html,fa-users
Linkedin,Social networks,Answer technical customer support questions,Retrieval-Augmented Generation with Knowledge Graphs for Customer Service Question Answering,customer support,2024,https://arxiv.org/pdf/2404.17723,fa-user-friends
Cloudflare,Tech,Detect bot attacks,Using machine learning to detect bot attacks that leverage residential proxies,ops,2024,https://blog.cloudflare.com/residential-proxy-bot-detection-using-machine-learning,fa-microchip
GitHub,Tech,Find and fix code vulnerabilities,Fixing security vulnerabilities with AI,ops,2024,https://github.blog/2024-02-14-fixing-security-vulnerabilities-with-ai/,fa-microchip
Swiggy,Delivery and mobility,Match search queries with dish names,Improving search relevance in hyperlocal food delivery using (small) language models,"LLM,generative AI",2024,https://bytes.swiggy.com/improving-search-relevance-in-hyperlocal-food-delivery-using-small-language-models-ecda2acc24e6,fa-truck
Grammarly,Tech,Detect delicate text,Detecting Delicate Text: Going Beyond Toxicity,"LLM,product feature,generative AI",2024,https://www.grammarly.com/blog/engineering/detecting-delicate-text/,fa-microchip
Swiggy,Delivery and mobility,Automatically populate and correct addresses,Address Correction for Q-Commerce Part 1: Location Inaccuracy Classifier,product feature,2024,https://bytes.swiggy.com/address-correction-for-q-commerce-part-1-location-inaccuracy-classifier-e72b88a33d2f,fa-truck
Mercado Libre,E-commerce and retail,LLM-based use cases,Beyond the Hype: Real-World Lessons and Insights from Working with Large Language Models,"LLM,generative AI,RAG",2024,https://medium.com/mercadolibre-tech/beyond-the-hype-real-world-lessons-and-insights-from-working-with-large-language-models-6d637e39f8f8,fa-shopping-cart
LinkedIn,Social networks,Suggest new connections on social network,Building a Large-Scale Recommendation System: People You May Know,"recommender system,product feature",2024,https://www.linkedin.com/blog/engineering/recommendations/building-a-large-scale-recommendation-system-people-you-may-know,fa-user-friends
Amazon,Tech,Find and remove damaged products,How Project P.I. helps Amazon remove imperfect products,"CV,generative AI",2024,https://www.amazon.science/news-and-features/how-project-p-i-helps-amazon-remove-imperfect-products,fa-microchip
Dropbox,Tech,Prevent token attacks on LLMs,Bye Bye Bye...: Evolution of repeated token attacks on ChatGPT models,"LLM,ops,generative AI",2024,https://dropbox.tech/machine-learning/bye-bye-bye-evolution-of-repeated-token-attacks-on-chatgpt-models,fa-microchip
Walmart,E-commerce and retail,Handle imbalances in text data,Augmentation Techniques for Imbalanced text Classification,ops,2024,https://medium.com/walmartglobaltech/augmentation-techniques-for-imbalanced-text-classification-f0d29c0f8ce1,fa-shopping-cart
Amazon,Tech,Improve product recommendations with commonsense reasoning,Building commonsense knowledge graphs to aid product recommendation,"LLM,recommender system,generative AI",2024,https://www.amazon.science/blog/building-commonsense-knowledge-graphs-to-aid-product-recommendation,fa-microchip
Grab,"Delivery and mobility,Banking and finance",Generate analytical reports using LLMs,Leveraging RAG-powered LLMs for Analytical Tasks,"LLM,generative AI,RAG",2024,https://engineering.grab.com/transforming-the-analytics-landscape-with-RAG-powered-LLM,fa-truck
Expedia,"Travel,E-commerce and retail",Personalize ranking to traffic channel,Channel-Smart Property Search: How Expedia Tailors Rankings for You,search,2024,https://medium.com/expedia-group-tech/learning-to-rank-at-expedia-group-how-to-adapt-the-property-search-result-page-based-on-f4ebef78c94b,fa-home
Thomson Reuters,Media and streaming,Improve customer support ,Better Customer Support Using Retrieval-Augmented Generation (RAG) at Thomson Reuters,"generative AI,LLM,customer support,RAG",2024,https://medium.com/tr-labs-ml-engineering-blog/better-customer-support-using-retrieval-augmented-generation-rag-at-thomson-reuters-4d140a6044c3,fa-music
Linkedin,Social platforms,Improve content search results,Introducing Semantic Capability in LinkedIn's Content Search Engine,search,2024,https://www.linkedin.com/blog/engineering/search/introducing-semantic-capability-in-linkedins-content-search-engine,fa-users
Playtika,Gaming,Generate visuals in games,Generative art at scale in Playtika,generative AI,2024,https://medium.com/@playtika-tech-ai/generative-art-at-scale-in-playtika-cf36be807fea,fa-gamepad
Instacart,Delivery and mobility,Efficiently allocate marketing budget,Bandits for Marketing Optimization,"causality,ad ranking/targeting",2024,https://tech.instacart.com/bandits-for-marketing-optimization-f5a63b9bfaa7,fa-truck
Booking,"Travel,E-commerce and retail",Optimize search results for hotel listings,The Engineering Behind High-Performance Ranking Platform: A System Overview,search,2024,https://medium.com/booking-com-development/the-engineering-behind-booking-coms-ranking-platform-a-system-overview-2fb222003ca6,fa-home
Airbnb,"Travel,E-commerce and retail",Identify and classify personal data,Personal Data Classification,"ops,item classification",2024,https://medium.com/airbnb-engineering/personal-data-classification-2d816d8ea516,fa-home
Malt,Tech,Recommend relevant projects to freelancers,Super Powering our Freelancer Recommendation System using a Vector Database,recommender system,2024,https://blog.malt.engineering/super-powering-our-freelancer-recommendation-system-using-a-vector-database-add643fcfd23,fa-microchip
Pinterest,Social platforms,Transform user questions to SQL queries,How we built Text-to-SQL at Pinterest,"LLM,generative AI,RAG",2024,https://medium.com/pinterest-engineering/how-we-built-text-to-sql-at-pinterest-30bad30dabff,fa-users
Instacart,Delivery and mobility,Make contextual product recommendations,Sequence models for Contextual Recommendations at Instacart,"generative AI,LLM,recommender system",2024,https://tech.instacart.com/sequence-models-for-contextual-recommendations-at-instacart-93414a28e70c,fa-truck
Playtika,Gaming,Personalize gaming experience,Lessons learned from multi-armed bandits in real-time production,recommender systems,2024,https://medium.com/@playtika-tech-ai/lessons-learned-from-multi-armed-bandits-in-real-time-production-777f2bdd4f5f,fa-gamepad
Spotify,Media and streaming,Generate content annotations,How We Generated Millions of Content Annotations,"generative AI,LLM",2024,https://engineering.atspotify.com/2024/10/how-we-generated-millions-of-content-annotations/,fa-music
Shopify,E-commerce and retail,Improve consumer search intent ,How Shopify improved consumer search intent with real-time ML,search,2024,https://shopify.engineering/how-shopify-improved-consumer-search-intent-with-real-time-ml,fa-shopping-cart
Walmart,E-commerce and retail,Group products by type,Using Predictive and Gen AI to Improve Product Categorization at Walmart,"item classificatiion,LLM,generative AI",2024,https://medium.com/walmartglobaltech/using-predictive-and-gen-ai-to-improve-product-categorization-at-walmart-dc9821c6a481,fa-shopping-cart
Google,Tech,How Google search works,How Google Search ranking works,search,2024,https://searchengineland.com/how-google-search-ranking-works-445141,fa-microchip
Vimeo,Media and streaming,Summarize video content,Unlocking knowledge sharing for videos with RAG,"LLM,generative AI,RAG",2024,https://medium.com/vimeo-engineering-blog/unlocking-knowledge-sharing-for-videos-with-rag-810ab496ae59,fa-music
Upwork,Tech,AI assistant for hiring process,Scaling AI Models for Better Work Outcomes,"generative AI,LLM",2024,https://www.upwork.com/blog/scaling-ai-models-for-better-work-outcomes,fa-microchip
Dropbox,Tech,Summarize and answer questions about files,Bringing AI-powered answers and summaries to file previews on the web,"LLM,generative AI",2024,https://dropbox.tech/machine-learning/bringing-ai-powered-answers-and-summaries-to-file-previews-on-the-web,fa-microchip
Grammarly,Tech,On-device typing suggestions,Unlocking Personalization With an On-Device Model for the Grammarly Keyboard,"generative AI,LLM",2024,https://www.grammarly.com/blog/engineering/personal-language-model/,fa-microchip
Instacart,Delivery and mobility,Help users discover new products,Supercharging Discovery in Search with LLMs,"generative AI,LLM,search",2024,https://tech.instacart.com/supercharging-discovery-in-search-with-llms-556c585d4720,fa-truck
Uber,Delivery and mobility,Transform natural language to SQL queries,QueryGPT – Natural Language to SQL Using Generative AI,"LLM,generative AI",2024,https://www.uber.com/en-IN/blog/query-gpt/,fa-truck
Figma,Tech,Search for designs within files,The infrastructure behind AI search in Figma,"search,product feature",2024,https://www.figma.com/blog/the-infrastructure-behind-ai-search-in-figma/,fa-microchip
Instacart,Delivery and mobility,Optimize search relevance,Optimizing search relevance at Instacart using hybrid retrieval,search,2024,https://tech.instacart.com/optimizing-search-relevance-at-instacart-using-hybrid-retrieval-88cb579b959c,fa-truck
Grab,"Delivery and mobility,Banking and finance",Help users discover data,Enabling conversational data discovery with LLMs at Grab,"generative AI,LLM",2024,https://engineering.grab.com/hubble-data-discovery,fa-truck
Airbnb,"Travel,E-commerce and retail",Implement LLM chatbot applications,Automation Platform v2: Improving Conversational AI at Airbnb,"generative AI,LLM",2024,https://medium.com/airbnb-engineering/automation-platform-v2-improving-conversational-ai-at-airbnb-d86c9386e0cb,fa-home
Netflix,Media and streaming,Recommend content for long-term satisfaction,Recommending for Long-Term Member Satisfaction at Netflix,recommender system,2024,https://netflixtechblog.com/recommending-for-long-term-member-satisfaction-at-netflix-ac15cada49ef,fa-music
Coinbase,Fintech and banking,Deploy an LLM chatbot,Lessons from launching Enterprise-grade GenAI solutions at Coinbase,"generative AI,LLM,ops",2024,https://www.coinbase.com/blog/lessons-from-launching-enterprise-grade-genAI-solutions-at-Coinbase,fa-credit-card
Swiggy,Delivery and mobility,Transform user questions to SQL queries,Hermes: A Text-to-SQL solution at Swiggy,"generative AI,LLM",2024,https://bytes.swiggy.com/hermes-a-text-to-sql-solution-at-swiggy-81573fb4fb6e,fa-truck
Pinterest,Social platforms,Generate image backgrounds from text,"Building Pinterest Canvas, a text-to-image foundation model","generative AI,CV",2024,https://medium.com/pinterest-engineering/building-pinterest-canvas-a-text-to-image-foundation-model-aa34965e84d9,fa-users
Pinterest,Social platforms,Personalize notifications in near real-time,NEP: Notification System and Relevance,content personalization,2024,https://medium.com/pinterest-engineering/nep-notification-system-and-relevance-a7fff21986c7,fa-users
Discord,Social platforms,Find relationships in data,Learning from structure: Discord's Entity-Relationship Embeddings ,"ops,NLP",2024,https://discord.com/blog/learning-from-structure-discords-entity-relationship-embeddings,fa-users
Grab,"Delivery and mobility,Banking and finance",Enhance the accuracy of search,"
LLM-assisted vector similarity search","search,LLM,generative AI",2024,https://engineering.grab.com/llm-assisted-vector-similarity-search,fa-truck
Meta,Social platforms,Investigate reliability incidents using AI,Leveraging AI for efficient incident response,"LLM,generative AI",2024,https://engineering.fb.com/2024/06/24/data-infrastructure/leveraging-ai-for-efficient-incident-response/,fa-users
Walmart,E-commerce and retail,Extract product attributes from PDFs,Extracting Product Attributes from PDFs using PAE Framework,"item classification,generative AI,LLM",2024,https://medium.com/walmartglobaltech/extracting-product-attributes-from-pdfs-using-pae-framework-17889c73fdd4,fa-shopping-cart
Instacart,Delivery and mobility,Generate images of food products,Enhancing FoodStorm with AI Image Generation,"generative AI,CV",2024,https://tech.instacart.com/enhancing-foodstorm-with-ai-image-generation-d76a74867fa4,fa-truck
Doordash,Delivery and mobility,Build LLM-based support chatbot ,Path to high-quality LLM-based Dasher support automation,"generative AI,LLM,customer support,RAG",2024,https://careers.doordash.com/blog/large-language-modules-based-dasher-support-automation/,fa-truck
Doordash,Delivery and mobility,Personalized notifications for restaurant recommendations ,Beyond the Click: Elevating DoorDash’s personalized notification experience with GNN recommendation,recommender system,2024,https://careersatdoordash.com/blog/doordash-customize-notifications-how-gnn-work/,fa-truck
Booking,"Travel,E-commerce and retail",Detect interconnected fraud attacks,Leverage graph technology for real-time Fraud Detection and Prevention,fraud detection,2024,https://medium.com/booking-com-development/leverage-graph-technology-for-real-time-fraud-detection-and-prevention-438336076ea5,fa-home
Roblox,Gaming,Translate chats in near real-time ,Breaking Down Language Barriers with a Multilingual Translation Model,"product feature,LLM,generative AI",2024,https://corp.roblox.com/newsroom/2024/02/breaking-down-language-barriers-with-a-multilingual-translation-model,fa-gamepad
Adyen,Fintech and banking,Augment unit test generation,Elevating Code Quality Through LLM Integration: Adyen's Venture into Augmented Unit Test Generation,"ops,generative AI,LLM",2024,https://www.adyen.com/knowledge-hub/elevating-code-quality-through-llm-integration,fa-credit-card
Roblox,Gaming,Detect policy violations in voice ,Deploying ML for Voice Safety,"product feature,spam/content moderation,voice interface",2024,https://corp.roblox.com/newsroom/2024/07/deploying-ml-for-voice-safety,fa-gamepad
LinkedIn,Social platforms,Automate hiring routine tasks,"Under the hood: the tech behind the first agent from LinkedIn, Hiring Assistant","generative AI,LLM,product feature",2024,https://www.linkedin.com/blog/engineering/generative-ai/the-tech-behind-the-first-agent-from-linkedin-hiring-assistant,fa-users
Etsy,E-commerce and retail,Detect policy-violating items,Machine Learning in Content Moderation at Etsy,spam / content moderation,2024,https://www.etsy.com/codeascraft/machine-learning-in-content-moderation-at-etsy?,fa-shopping-cart
